Week,Title,Text
0,Welcome to Maine-yball,"This is the Weekly Digest, here you will find weekly talks about the top headlines of Maine Football throughout the course of the season."
0,Preseason Buzz,"The 2026 season is almost here! After a long offseason, the teams are ready to hit the field and show what they have been working towards. Class A seems to be marked again with the same teams at the top, but there are a few new faces that could shake things up. Class B is looking to have a large transitional year across the league with the departure of a very talented 2026 class, leaving an exciting stage for the upcoming season for teams to step up and prove why they deserve to be in the conversation. Stay tuned for more updates as the season progresses!"
1,Week 1 Recap,"The first week of the season is in the books! For Class A, Thornton Academy seems to be replicating the same quality of play that they have show time and time again after a dominant 56-0 win over Scarborough. Class B South seems to be a much more competitive league this year highlighted by the close mathchup between the defending champs, Westbrook who came away with a close 15-9 win over a strong Cheverus team. Marshwood also came away with a huge win, dropping 50 points on Class A Sanford. Class B North also seems be due for great competition this year with the Maine-yball Game of the Week in a Class B North Final rematch between Cony and Fryeburg where the Rams came away with a 25-21 win after going back and forth the whole bout. "
3,Week 2-3 Digest,"These first few weeks of the season have been a whirlwind of excitement and suprises! In Class A, Thornton Academy seems has proved to be the team to beat again but not without challengers with strong early season performances from Oxford Hills and Massabesic. In Class B, the Lawrence Bulldogs look dominant with their first-year coaching staff and are topping the North B rankings at this point in the season. After a great first few weeks for Marshwood and Biddeford, both teams are battling for what seems to be a very competitive South B division. Compared to other ranking systems, the Maine-yball rankings defer somewhat especially in the weight put into preseason rankings and the strength of schedule. As a young system, MPI is set up to track and rank teams based puerly on statistical performacne against quality opponents without having any opinions or biases affect the data."
