Team,Wins,Losses,Points_For,Points_Against,Yards_Per_Game,Turnovers,Opponent_Win_Percentage,Home_Wins,Away_Wins,Top10_Wins
Thornton Academy,8,0,278,91,412,6,.712,4,4,3
Bonny Eagle,7,1,244,118,381,8,.661,3,4,2
